是否看过,日期,评星,赞成数,评论内容
看过,2017-09-11 19:23:52,推荐,16389," “没有被善待的人，最容易识别善良，也最珍惜善良。” 适合带长辈们看，或许多少年后，就没人再拍这样的电影了…后面半小时泪弹太足，我们在最好的年代虚度光阴，他们在最坏的年代洗尽铅华。
        "
看过,2017-09-08 22:43:59,推荐,8565," 三星半，手松点也是可以四星的。全片最触动我的，就是那场独舞，关于信仰、对集体主义的控诉、青春之殇，一场戏都在里面了。冯小刚确实在做以前第五代导演才会做的事，他驾着他积累的20多年的名声，扭过头，凿一座碑。
        "
看过,2017-09-17 23:49:10,还行,7092," 碎片式的情节，符号化的年代，流水账的青春。我能理解对于青春的执念和自我沉溺，所以给了三星。但一个功成名就的导演花几千万搭一个文工团的景，跟五岁的孩子用积木搭一个心爱的城堡，其实没有本质的区别。
        "
看过,2017-09-18 11:04:52,推荐,5768," 严歌苓笔下有幻灭，但冯小刚镜头里只是一闪而过。严写的是“他触摸了我”，冯心里更多是芳华，如同张艺谋心里有“归来”，而不是“陆犯焉识”。无论是冯还是张，都从严歌苓笔下拿走了自己需要的东西，而将严那部分反思一带而过。他们终归是这个时代的主流，而严歌苓多是历史边缘人视角。也只能如此了。
        "
看过,2017-09-22 21:17:24,推荐,4400," 这场战争活着不如死去，那个年代清醒不如疯魔。倘若这样牺牲，刘峰便能被写成歌，在心上人的歌喉里成为不朽；假如继续痴癫，小萍就能一直跳舞，在幻梦里领舞到老去。可惜文工团的台上没有不散的舞，滇缅的沼泽里唱不出永恒的歌。他们像熟透的番茄、将化的雪糕，在青春里一个趔趄，再回首已是面目全非。
        "
看过,2017-09-22 17:21:39,较差,3147," 又臭又长，可能是我们这届观众不行
        "
看过,2017-09-12 10:56:43,较差,2777," 冯小刚现在的意义是“我这么牛逼我这些题材都敢拍。”但其实好题材都被他砸到了手里。调教演员比不过张艺谋的《归来》，人物悲欢比不过《军中乐园》。莫名其妙给女二加了旁白和爱情线，最终导致没有一个人物讲清楚。以及，黄轩真的很丑。
        "
看过,2017-09-23 23:10:16,很差,2150," 或许是想与声之形竞争年度喂屎片的位置吧。从霸凌者的角度给你讲一场唯美的青春，就问问那些人生都被毁掉的人，你信不信，恶心不恶心，十年后向你伸出的那双施恩的手，你想不想砍了？
        "
看过,2017-09-15 17:48:37,力荐,2931," 【红颜弹指老，刹那芳华】“一个始终不被善待的人，最能识别善良，也最珍惜善良”练功房、成分、“解放”……太多感同身受的情节，心疼，数次落泪。看到何小萍最后的失常，战争的残酷，有些理解我那个参过军的怪脾气的爷爷了，恩怨全都释然。不得不佩服冯导选角的眼光，真实，个性鲜明，满屏的青春
        "
看过,2017-11-20 23:47:13,较差,1870," 文工团解散的时候，我觉得自己好像参加完军训看同学们抱头痛哭时一样如坐针毡。一群在文革里估计就是红卫兵的人，在永远虚假的歌舞升平之后，终于活到了可以缅怀青春的年纪。从这个角度来说，这部电影还真是够残酷也够写实的了。
        "
看过,2017-11-23 16:05:50,推荐,2005," 7，冯小刚这次应该是走心了，第一次能在他的电影里找到更真实的感情共鸣。故事可看性不错，从青春芳华到残酷战争再到一切的幻灭，颇有些伤感。美术、服装、摄影、配乐都非常出色，也成为主要加分项，片子拍得非常漂亮。
        "
看过,2017-09-17 19:14:52,较差,1687," 流水账，消费时代。开篇听到「上个世纪七十年代」这八个字我已经给它扣了八颗星。这个声音来自剧中人物，叙述时间是七十年代，企图用奥雷良诺上校式的口吻追忆，她到底是谁出现在哪个次元已经成了一个谜。希望冯导能尽快找出制造这个bug的人然后把这个人修改掉。
        "
看过,2017-12-10 14:59:51,还行,1467," 虽然剧本是很严重的硬伤，用女二的第一人称讲别人的故事，导致最后没有哪个角色的形象足够立体。不过从情感上讲，我是非常喜欢这部电影，很有共鸣，让我们看到一个特殊的时代，看到那代人信仰的幻灭，故事里没有敌人，但敌人又无处不在，好坏善恶都只是一线之间。这部电影里，最好的肯定是配乐了。
        "
看过,2017-10-31 00:16:20,较差,1296," 本来没有高期待，但还是比预想的差。大段样板戏，情感莫名，想讲大时代，涉及敏感又浅尝辄止，不深刻不入心，这点比潘金莲好不了多少。我是钢炮，但我还是不能钢，可你们要以为我钢着。尤其一段文工团解散戏，涂脂抹粉的脸和僵硬的表情，夸张矫情的歌唱，最难看的群戏。是不是唱《血染的风采》更合适？
        "
看过,2017-10-30 01:33:20,还行,1054," 精神病人聚众围观文工团的歌舞表演，是个很好的落脚点。但分裂的冯小刚，显然没有想好，如何去反思这场大型的疯人院精神虐待。你为所谓的情怀买单，为不再拥有电影记忆的父母辈落泪，你以为这是一壶好酒。实际上，更像是损伤大脑记忆的勾兑酒精——正如那场丑陋的散伙酗酒。
        "
看过,2017-12-17 20:32:36,较差,1313," 原著里郝淑雯、林丁丁早早认识到金钱和权势的魅力，做的都是当代人的选择。刘峰和何小曼是时代的老实人，结果结结实实被时代碾压，这正是故事的悲剧之处。电影把所有复杂的人性全部拍扁，拍了一个文工团版的致青春，断手和重逢轻飘飘得像打胎一样，尤其文工团那场合唱送战友，真正的庸俗不堪。
        "
看过,2017-09-17 13:54:37,较差,1210," 可怕的剪辑，可怕的镜头，买一赠七的故事线……耗尽了由《1942》、《我不是潘金莲》而来的一点期待
        "
