是否看过,日期,评星,赞成数,评论内容
看过,2016-07-26 22:55:59,很差,4235," 一句话总结：城乡结合部包工头混混老大为了捧自家儿子请来一堆给钱就上的戏子倾情拍摄的尽显三下乡暴发户本色土豪金洗钱神作。
        "
看过,2016-07-28 23:05:21,很差,3390," 这个电影神奇的聚集了我不喜欢的好多明星。
        "
看过,2016-07-28 00:28:29,很差,3117," 黄晓明  杨颖   范冰冰…………………你们懂的
        "
看过,2016-07-27 21:32:47,很差,2902," 一脸懵逼。居然还真有这么多演员可以奋不顾身有钱就上。
        "
看过,2016-07-29 02:21:09,很差,2841," 三年之内，不会有比他烂的片子，如果有，那一定是它的续集。
        "
看过,2016-07-25 02:11:48,很差,2846," 现场乐疯了、笑喷了，都雷得不行了，没看完退场的一大把，那五毛特效、丑陋造型、弱智台词雷爆了。假脸、渣男、整容女、烂草、伪鲜肉、老不死伪巨星拙劣表演，黄金甲+变形金刚+断壁残垣，哪吒喊“乾坤圈”放屁闹龙宫，向佐光膀子秀腹肌同ab虐恋，狗血弱智!欠中国星电影票，就还这里？拔苗助长失败惨案
        "
看过,2016-07-29 11:38:42,很差,2246," 眼睛不舒服
        "
看过,2016-07-27 20:49:39,很差,1803," 时至今日，还能有如此大投资的神作问世并招揽到一众大咖，真是令人心寒。——论明星们如何一板一眼的天雷滚滚。
        "
看过,2016-07-27 09:34:04,很差,1654," 以武王伐纣为背景的神话巨制，再度开辟了人类对电影底线的认知，在这部名为《封神传奇》的电影中，国内一线明星的集结，犹如群魔乱舞般在这部足载影史的神作中留下了自己“辉煌”的演技，冠绝古今的剧情、服饰、特效，令《富春山居图》亦只能黯然失色，此乃真神作！
        "
看过,2016-07-20 22:21:56,很差,1308," 这部《向佐传奇》讲的是用光明之剑射进生命之泉的故事。
        "
看过,2016-07-29 08:05:24,很差,924," 怀着被雷劈的心去的，果然被雷劈劈叉了。

        "
看过,2016-07-25 23:49:50,很差,849," -5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分，-5.7分。
        "
看过,2016-07-28 22:36:39,很差,888," 天雷滚滚。不想说什么
        "
看过,2016-07-27 09:33:28,很差,777," 我觉得向太在定档期的时候可能在王晶和郭敬明之间纠结了许久。
        "
看过,2016-07-28 22:26:41,很差,725," 黄晓明+ab＋范冰冰+文章=。。。。。
        "
看过,2016-07-29 00:02:26,很差,719," 李连杰就上厕所路上顺带到片场打个酱油的功夫，也好意思把他名字赫然放在第一位骗票房。现在真的挺恶心Jet Li、Jackie Chan、Yun-Fat Chow之流，摆明了玩票糊弄事儿，随便应付应付用仅剩的那点资历跟名气圈钱了事。不要求你爱电影了，对电影的基本尊重还在吗？能爱惜一下羽毛不？
        "
看过,2016-07-28 21:00:58,很差,740," 更可怕的是 这个片子还有第二部 
        "
看过,2016-07-28 20:41:18,很差,615," 众星捧月的电影，看看明星就好，至于演技，有小明和北鼻的电影，莫强求
        "
看过,2016-07-29 17:43:58,很差,557," 最大的悲哀是，我司500多员工，一起包场看。
        "
看过,2016-08-01 00:05:28,很差,411," 有了它，这个国产烂片保护月变得很完整。
        "
看过,2016-07-28 11:32:18,很差,515," 相比《富春山居图》的毫无逻辑，这部才是真正的辣眼睛。ps：蜜汁怜爱梁家辉。
        "
看过,2016-07-28 10:49:52,很差,515," 从贺岁档跳到暑期档，仍旧掩盖不了“圈钱”野心，画面犹如“黄金甲”，特效依旧“亮瞎眼”，造型无一例外丑到哭，阵容里的大部分人演这部片我是不意外的，毕竟曾经都是“烂片榜”上的常客，但梁家辉真的堕落到要接这种“乱炖一气”的电影吗；导演明显是眼红近年的“澳门”“西游”系列，也想来狠捞一笔
        "
看过,2016-07-29 09:02:39,很差,467," 我向来不用戏子来侮辱演员
但我会用来侮辱明星
        "
看过,2016-07-28 12:18:18,很差,438," 别再说欠谁电影票了，美人鱼，绝地逃亡，澳门风云，封神传奇，都是垃圾！
        "
看过,2016-07-29 10:11:14,很差,812," 2016华语烂片top3预定。
        "
看过,2016-07-28 23:37:37,很差,337," 天啦，我的24k顶级氪金狗眼已经被这部巨制闪瞎了！
        "
