是否看过,日期,评星,赞成数,评论内容
看过,2013-06-03 21:18:06,很差,3677," 豆瓣君你还要节操吗……我的那句“国产山寨农金碟中谍，特效山炮，设定山炮，造型山炮”为什么被删掉了，难道因为点有用的太多了吗……
        "
看过,2013-06-09 22:40:06,很差,3644," 第一次见到那么多观众骂完导演傻逼之后再骂自己傻逼的。
        "
看过,2013-06-09 01:33:18,很差,2730," 这就是 因为实在太烂所以刘德华经纪人多次打电话要求不要上映 的那个片
        "
看过,2013-06-04 18:02:39,很差,2598," 一坨五彩斑斓的屎。
        "
看过,2013-06-09 14:34:14,很差,2384," 年度超级混搭大片：综合了科幻、特工、动作、夺宝、农村题材、国产警匪剧、古装、抗日神剧、还有点恐怖片戏份，并有SM、恋母元素，辅以魔术、杂技及艺术体操。偶尔还有几个离奇的笑点，超好笑那种。叙事一塌糊涂，人物关系莫名其妙，转变也乱码七糟，故事讲得东一句西一句，看得稀里糊涂，一星半鼓励下
        "
看过,2013-06-10 11:14:36,很差,2217," 如果有朋友约你去看这部电影，你一定要好好珍惜他，因为他一定只是为了找个借口和你单独呆两个小时而不是对这部电影感兴趣。
        "
看过,2013-06-06 14:28:19,很差,1675," 不错，非常好的烂片！
        "
看过,2013-06-09 16:14:11,很差,1160," 孙健君 你竟然偷我儿子的的周记做电影剧本！剽窃呀！我要告你呀呀呀！
        "
看过,2013-06-09 15:30:35,很差,1017," 给一颗星的原因是没有负分。编剧和导演全体精神错乱的产物。我国内地公安在这个影片里公开打酱油……全体演员智商归零！
        "
看过,2013-05-30 09:15:35,很差,752," 咋一听这名字【富春山居图】，还以为是一部将中国古代历史题材的影片，结果加上天机二字，我瞬间秒懂了-这将是一部不论不类的匪徒夺宝片，俗称中国式烂片、伪大片。老老实实把自己的文化讲清楚不好么，非要傍人家的特效团队东拼西凑各种元素搅烂一锅汤，还没端上桌我就闻到一股腥臊臭味！
        "
看过,2013-06-04 17:57:50,None,689," 这个导演有意思，开公司做舞台特效发家，然后把赚来的钱砸向电影，到电影里搞特效，痴心不改。结果电影拍的……不过我担心我国日益常见的票房奇迹会毁了这桩原本注定的悲剧。
        "
看过,2013-06-07 14:16:53,很差,728,
看过,2013-06-08 11:22:21,很差,693,
看过,2013-06-09 01:13:58,很差,602,
看过,2013-06-09 14:48:01,很差,614," 额，确定佟大为演的是走私贩而不是老鸨子？
        "
看过,2013-06-08 15:27:14,很差,465," 你大爷的，《疯狂原始人》一直没机会看，有时间看了被你挤下线了，不过人家上了一个多月下线也就算了，可是《逆光飞翔》八号才上的就被你挤压的影院都不排挡了，你大爷的，几把烂片玩意儿
        "
看过,2013-06-09 20:15:53,很差,426," 俺赶紧先开门见山说一句吧，能拦住一个是一个：《富春山居图》烂得惨不忍睹，我忍着各种“我X”，勉强看完，这片子属于在影院看费钱，在电脑上看费流量，不管你咋看都费时间的“三费”奇葩！！！
        "
看过,2013-05-23 12:31:09,较差,401," 这部为做到仿国际化，一直不停变换地标的电影根本不能用五颗星制衡量，应该是250颗星。温馨提示，看的过程中，千万别问为什么？因为它本身毫无逻辑可言。这是志玲姐姐的百变大咖秀，也是刘德华对张静初用防狼喷雾的奇葩片，佟大为更盛，从头到尾都是一副欠扁相。至于美术嘛，你就得相信导演的恶趣味了
        "
看过,2013-06-13 09:34:17,很差,436," 对以前被我打一星的电影say sorry
        "
看过,2013-06-10 20:10:08,很差,287," 拍成这样还出来公映，真丢人！《白蛇传说》《画皮2》们都比你好一万倍。
        "
看过,2013-06-10 03:22:42,很差,326," 富春山居图，没看的朋友千万不要尝试！抗日雷剧扛鼎之作，在它和「杨门女将」之间至少趴着100个「北京遇上西雅图」TVC中最烂的微电影，MV中最差的病毒视频！槽点比春晚还密集，永远都有像蟑螂一样杀不尽的夜店女服务员！林志玲演的骚逼一点都不骚，佟大为演的日本少爷跟他妈白化病患者似的......
        "
看过,2013-06-13 00:37:00,很差,319," 当那个姑娘告诉我她要看富春山居图时，我就觉得我们不可能了。。。。。
        "
看过,2013-06-10 13:52:33,很差,315," 五流导演四流剧情三流特效二流演员一流烂片下流思想，如果此生，我还能和谁再看一遍《富春山居图》，那只能说明我是真心喜欢这个人。不！是真爱！我想和她享受一起吃苦的幸福！
        "
看过,2013-06-09 16:32:45,很差,279," 天呐amazing！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！超乎想象fantasy！！！！！！！！豆瓣你什么时候出零分呢么么哒
        "
看过,2013-06-13 16:16:43,很差,228," 要去电影院看此片的朋友们，不如把电影票钱用支付宝打给我吧，这样你们就可以在帮助一个贫穷的朋友的同时，让自己免受伤害。珍爱生命，善待朋友。
        "
看过,2013-06-10 21:19:39,None,212," 世间最痛苦莫过于眼看一盆狗屎居然这么快就卖过了亿
        "
看过,2013-06-11 21:21:39,很差,202," 整体不伦不类，细节不清不楚；感情不明不白，剧情不管不顾；人物不三不四，动作不上不下；一星不多不少，烂片不折不扣。
        "
看过,2013-06-09 08:52:49,很差,160," 沒有看就骂的电影，我从来没骂错过。你们一年以来不懈努力的降低中国电影制片对电影设置的标准，两年高票房以后中国电影已经变成了只要请来几个熟人就能上十亿骗时间骗钱的狗屎，孙建军赵薇郭敬明这样的搅屎棍更是让电影臭上加臭。不过骂的再多也没用，这无疑又将是一个高票房烂片。祝观影愉快。
        "
看过,2013-06-09 09:07:07,很差,182," 今年第一次看零点场，人生就此堕落了。（此片惊天般地水深诡异 无从喷起)
        "
看过,2013-06-09 17:06:27,很差,162," 这片烂得让我目瞪口呆
        "
看过,2013-06-09 14:15:04,很差,170," 如果有人给我35块钱让我在看屙屎和吃屎中间选择的话，我会毅然决然的选择吃屎！
        "
看过,2013-06-17 02:15:16,None,140," 刚开始我觉得剪辑略快所以努力集中精神生怕错过什么，十分钟后我发现他妈的你就算一部电影不眨眼你也不会知道他在说什么！
        "
看过,2013-06-09 16:15:52,很差,139," 烂片之王 流的滑。
        "
看过,2013-06-09 08:00:30,很差,136,
看过,2013-06-12 23:44:55,很差,139," 40块钱，你买到的是《夺宝奇兵》是《碟中谍》是《无间道》是《史密斯夫妇》是《肉蒲团》是《还珠格格》是《天地无伦》是《闪灵》是剧场版奥迪广告，是迪拜富豪的特仑苏生活，是杭州的城市风光宣传片，总之，走进影院，40块钱买不了吃亏买不了上当！
        "
看过,2013-06-20 12:24:39,很差,72," 孙导是一个诚实的导演，他喜欢外围女，热爱击剑运动，没事做跑跑迪拜，观赏印象西湖，偶尔还会做做白日梦，臆想“支那人去死”的年代，当一回民族英雄
        "
看过,2013-06-08 14:13:47,很差,89," 垃圾！这美术就是故弄玄虚，华而不实，烧了不少钱也贪了不少钱吧？狗屎！
        "
看过,2013-06-09 15:14:04,很差,90," 只能说这部电影让我重新认识到了国产伪大片能烂到的极限！
        "
看过,2013-06-09 14:36:24,很差,102,
看过,2013-06-10 11:53:12,力荐,96," 毫无疑问，这是一部有能力角逐世界影视史烂片前三的经典之作。普通的烂片就算了，世界前三的片，你不花钱去影院看？！
        "
看过,2013-06-09 21:59:32,很差,112," 朋友出来后感叹＂虽然是用了折扣券还是觉得不值啊＂，姐立刻正色道＂一部电影让你看了恐怖片枪战片悬疑片爱情片警匪片武打片科幻片连色情片都有了，即是二逼国产剧又是直升机+追车好莱坞大片，西湖给你看了迪拜也给你看了，很超值了有木有？！＂所以豆友们一定要去看看，不能光瞎我一个。。。
        "
看过,2013-06-09 22:05:50,很差,83," 东拼西凑，情节混乱，交代不清，故弄玄虚。0志0这只幽浮般的角色无孔不入不遗余力秀脸袒胸露腿扮演着女精神病跟踪狂一样的角色，最终为印证小三没有好下场而光荣地挡弹死去。
        "
看过,2013-06-11 09:45:19,很差,85," 总有一种给这部片一星就对不起那些真正值一星的电影的感觉。
        "
看过,2013-06-09 14:56:55,很差,64," 刚才一连10几个人给4星，点开一看主页，除了头像不一样其他全一样，都是5月28日参加西安草莓，水军们辛苦了啊，你们就和导演一样秀智商下限的嘛！
既然五毛们领了几块钱为何不写个4星的影评，让我们娱乐下啊，不敬业！
        "
看过,2013-06-09 16:45:36,很差,73," 仅次于画壁的中国第二烂片，1分不能更多！噢我看了一半就愤然离场了
        "
看过,2013-06-10 11:56:40,很差,82," 每一段都烂得神鬼莫测。什么都想要一点，却什么都没做到位。导演想带着观众狂奔，却发现自己其实连路都不会走，结果脸刹了。
        "
看过,2013-06-10 00:27:59,很差,79," 千！万！不！要！去！看！
        "
看过,2013-06-09 18:40:19,很差,62," 玷污我大黄公望之罪罄竹难书。
        "
看过,2013-06-09 14:45:15,很差,60," 我想我是吃多了才去电影院看这么一部烂片。。。
        "
看过,2013-06-09 15:23:17,很差,47," 用最言简意赅的词来形容本片，就是“乱”题材就是胡闹，结合了动作，科幻，夺宝，谍战，居然还有内地的警匪电视剧的感觉。而最大亮点莫过于艺术体操式的大胆创新。叙事一塌糊涂，人物关系反正我是没看明白。如果不是这一群明星主演，我到不会给一星。谁让你们不好好接戏，接这种烂戏败人品的。
        "
看过,2013-06-09 11:02:32,很差,47," 神马情况？水军全面来袭？
        "
看过,2013-06-16 17:43:12,很差,42," 我不敢相信自己竟然看完了。。。。。还有什么过不去的坎儿！！！！励志！！德味儿！！！
        "
看过,2013-06-09 15:44:58,很差,50," 臭傻逼片，臭傻逼导演。
        "
看过,2013-06-08 17:01:05,很差,37,
看过,2013-06-19 22:15:31,很差,33," 只有烂到这种级别的烂片，才能让我理直气壮的喊出：看盗版，我骄傲！一颗星喂尼玛逼～！
        "
看过,2013-06-08 13:51:09,None,51," 牛逼特效！和蓝猫3000问有得一比~~
        "
看过,2013-06-15 13:40:16,很差,37,
看过,2013-06-10 12:19:45,很差,42," 典型三费电影：去电影院看费钱，上网看费流量，反正怎么看都费时间。
        "
看过,2013-06-13 17:42:31,很差,31," 对于电影这门生意，话题性远比叙事的流畅性重要，电影本体的风格水准更是不值一提，《富春山居图》的导演估计是悟到了这一点，他决心拍一部终结所有烂片的巅峰烂片，他利用从小看《人奶魔巢》等山寨B级片的人生经验，粉碎镜头语言、故事叙事、案件逻辑、后期剪辑，做到了这一点，他在等待别人的超越。
        "
看过,2013-06-09 22:11:43,很差,54," 太！难！看！了！千！万！别！看！
        "
看过,2013-06-10 18:54:21,很差,47," 我就听说非常烂非常烂。因此饶有兴致屁颠屁颠地赶去电影院，想看看究竟有多烂。果然没失望啊
        "
看过,2013-06-09 19:29:52,很差,51," 无法直视吐槽无力的超级大烂片…………
        "
看过,2013-06-12 07:48:10,很差,20," 问：如何证明一个女人超级爱你？答：她能够陪你看完《富春春居图》。问孙建君：如何看待观众忍受不了剧情的败笔？答：他们不可能不看，我们所有重要角色都是靠胸靠脸吃饭的。问：您这么大尺度，咋通过广电审核？答：因为他们实在看下去，不知道我在拍什么，所以审核太轻松了
        "
看过,2013-06-06 21:56:03,很差,32," 看剧照就知道有多奇葩。
        "
看过,2013-06-09 15:38:48,很差,38,
看过,2013-06-13 20:40:52,很差,30," 我怀着激动的心情观赏了国产超级大片《富春骗局图》（鸡冻手误）。果然不负期待！影片bug纷呈，情节紧凑无序，表演莫名其妙，让人大开眼界！期间多次差点流下欢乐的泪水，毫无困乏之感。导演对《碟中谍》《杀死比尔》等经典进行去精取粗的艺术处理，把影片带到新高度，堪称当代艾德伍德，中国乌维鲍尔
        "
看过,2013-06-14 13:18:58,很差,28,
看过,2013-06-09 14:17:16,较差,30," 现在看到华仔就预先认定是烂片了。。。不是我有偏见啊，是有人专门演烂片啊！！！
        "
看过,2013-06-11 13:57:46,很差,24," 【D-】因为好奇究竟有多烂所以下了枪版看，看到一半忍不住关掉了，气氛之诡异，风格转向之犀利，台词之精辟，简直已经超越了我智商所能理解范围。整部片山炮气质浓厚，就好比一个农村暴发户企业家，品位低劣文化低满身金链子，却硬要扮作一个美国上流社会的贵族绅士，画虎不成反类犬
        "
看过,2013-06-09 16:25:33,很差,28,
看过,2013-06-19 09:33:33,很差,23," 那几个丑女穿着旱冰鞋一副快乐星球的扮相杀人的场景简直是绝了，就冲这个也待给一星
        "
看过,2013-06-12 20:37:50,很差,35,
看过,2013-06-09 14:43:28,很差,30," 有能比一星少的评分吗！
        "
看过,2013-06-10 09:31:10,很差,29," 这是我近年来看过的最让我想吐槽的电影了。毫无剧情不说，转换也莫名其妙，东一句西一句。另外，全局就透露出一股恐怖惊悚的味道。中间还夹杂了不少重口味因素：SM，恋母，胚胎，还有各种制服诱惑。。几度都想离场。一句话，很好的烂片。
        "
看过,2013-06-09 14:39:26,很差,25,
看过,2013-06-09 02:46:39,很差,31," 我要是再看这么雷的片子就阉了自己！！！！
        "
看过,2013-06-09 14:34:32,很差,24,
看过,2013-06-14 12:38:32,很差,20," 刘德华同志好好跟你的爱人同志去过二人世界吧，从小看你到大真是够了好吗
        "
看过,2013-06-03 13:22:47,None,34," 没看 看了下预告 但是觉得可烂吧。。。真的。。。不是我黑。。就是觉得可烂。，。。
        "
看过,2013-06-09 18:19:53,很差,19," 建议豆瓣开通零分评价。
        "
看过,2013-06-09 10:03:39,很差,26," 我来打一分的
        "
看过,2013-06-09 15:27:26,很差,34,
看过,2013-06-18 18:34:03,很差,15," 其实从某些方面来说挺好的么，比如我已经几年都没看过这种让我从头到尾笑得肝胆俱裂，雷得浑身酥麻的片了。剧情么，引用一句弹幕就是，虽不明，但觉烂。
        "
看过,2013-06-10 19:50:16,很差,19," 不要再糟蹋“富春山居图”五个字了好么，就不怕黄公望气的来找你们么。
        "
看过,2013-06-15 21:59:02,很差,11," 猎奇地下了枪版看。这真的不是三部烂片闭着眼睛剪辑而成的烂片吗？这片最恐怖的一点是片尾，刘德华带着“预知后事如何请看下集”的表情简直要把我吓哭了！不会明年有《清明上河图》吧。
        "
看过,2013-06-11 05:05:58,很差,19," 看你妈比枪手死一堆！！深更半夜盗老子豆瓣账号，然后用我的名义给这破片五颗星。现在发枪文都还不够，分原来都是这么刷出来的哟臭不要脸！！
        "
看过,2013-06-09 16:31:53,很差,22," 看完了预告片就可以怒打一星的电影。
        "
看过,2013-06-13 14:26:46,很差,13," 连德彪西埃尔加都不放过，孙总，你好嘢！
        "
看过,2013-06-09 15:59:36,很差,23," 乱七八糟，不知所谓。垃圾，连迪拜的场景加上一堆美女都弥补不了整部影片的失败。
        "
看过,2013-06-09 18:36:08,很差,28," 佟大为演反派一脸傻逼欠揍样简直不能看啊，他说完那句：我想要的你！就！不！能！动！我就吐一地了连预告片都看不完。。
        "
看过,2013-06-12 23:52:46,很差,6," 这是一部操蛋的电影，更为操蛋的是即使是这么操蛋的电影都在向我灌输“不喜欢就是不喜欢别瞎折腾了”。哎哟卧槽。
        "
看过,2013-06-12 08:41:14,较差,17," 1.知道是烂片，只是想知道究竟可以烂成什么样。2.林志玲一定是为了上演不断的变装秀才接此片。看着她裹块布赤手空拳的和各式猛男打架，真不值。3.张静初一定是为了能和林志玲抢男人并且胜利了才接此片。4.刘德华一定是因为志玲和静初才接此片。5.佟大为一定是为了拽完英文拽日文才接此片。
        "
看过,2017-05-20 17:33:15,很差,9," 我准备今晚去看《抢红》，所以过来打个卡，也没什么别的意思
        "
看过,2013-06-17 00:53:43,很差,12," 窝草泥马，我裤子都脱了泥给我看这个(σ｀д′)σ ？
        "
看过,2013-06-09 22:17:08,很差,17," 我只能说这个片子孙健君找遍了北京所有编剧来改，还是改不成个样子，因为这个剧本是他自己写的，纯傻逼范儿吧。见过初稿的人表示，幸亏不是按初稿来拍，不然5分钟一场轮奸戏，玩儿死你们。
        "
看过,2013-06-19 00:29:38,很差,5," 这电影的制片人名字都被打上框了，是被初剪版气死的吗？谁能告诉我，陈文茜和余秋雨是什么状况
        "
看过,2013-06-09 20:22:59,很差,10," 这部电影的每一个镜头，每一句台词，每一个画面，都值得你细细品味。因为你品到最后就会发现，他们都是没有意义的。
        "
看过,2013-06-10 09:00:09,很差,16," 年度烂片这种广告这种毁三观的台词，志玲姐姐是花瓶我可以理解。但是华仔是老戏骨了吗，肿么让我有空看寒战那种脑残电影错觉啊！！！！！！！这是第一本我看到半路走人的电影好吗！！！！！！去尼玛的3D差评！！！！！！
        "
看过,2013-06-09 14:36:51,很差,18," 如果不是同天上映的《光辉岁月》赶不上我才不会看这个，妈蛋当佟大为出现的时候我就暗下决心，负无穷分，滚粗！
        "
