是否看过,日期,评星,赞成数,评论内容
看过,2017-11-24 01:30:34,力荐,7559," 我们不但拍出了超过熔炉的电影，还上演了超过熔炉的惨剧。
        "
看过,2017-11-05 16:39:00,推荐,2597," 最正面的男性形象也是一个无能父亲，最负面的女性形象只是一个无能母亲。
        "
看过,2017-11-02 14:10:22,力荐,2568," 救救孩子！其实，电影讲的是一个女人的故事，小文长大后变成小米，小米在长大一点变成前台莉莉，莉莉再变成小文的妈妈...虽有遗憾，但切合中国当代语境现实，整体后劲和力量都非常足！#不仅是今年最好的国产电影，也是近10年最棒的中国电影#
        "
看过,2017-09-07 04:42:57,推荐,2446," 映后采了几个外媒记者，大都十分喜欢，但有个德国人无论如何都无法理解这个电影，可能他也根本不相信世界上会有这样的环境存在吧。一个女孩想要在中国安全地长大成人是非常不容易的事，希望更多这样的电影出现。
        "
看过,2017-09-07 03:41:58,力荐,2494," 或许它很难上映，但不妨碍它成为近23年最好的华语青春题材电影。
        "
看过,2017-11-23 19:01:56,力荐,1699," 嘉年华与红黄蓝
        "
看过,2017-09-07 05:37:32,推荐,1555," 在小鲜肉阴气弥漫，华语电影普遍不举的境况下，文晏以其对病态社会的深切关照及融汇中西的电影语言，贡献了一部极具担当的青春电影。这种担当不仅仅只是传统的鞭笞和批判，更为难得的是出逃与觉醒。此外电影也恰好映照了当下女性无任在意识还是行动上都远胜于男性的现实。
        "
看过,2017-11-06 07:51:01,推荐,1255," 一部非常女性视角的影片，实际上涵盖了多年龄层与职业的女性遭遇，而男性角色大多数施暴者或是懦弱的，这是个很有趣的现象。有几场戏的暗喻非常有趣，尤其结尾公路一场，配合难得的音乐。在当下内地，这个影片无论是选材还是视角，都是少见的，也是难得的。
        "
看过,2017-11-02 13:29:34,推荐,1295," 年度最佳华语电影，有可能成为中国版《熔炉》，而且艺术水准绝对比后者高。女导演要第三方视角拍未成年人性侵丑闻，既保证了艺术性和个人表达，又保证了它的观赏性，镜头里不见残酷，但一线善意更加凸显了现实的黑暗，最后的结尾算得上神来之笔了，情感冲击力让人看完之后陷入久久的沉默。
        "
看过,2017-11-09 11:29:07,推荐,803," 少女性侵案，同情很容易，手撕罪犯也不难，但除此以外呢？片中两位母亲的做法，恐怕正好解释了悲剧不是随机并无意发生的。相比不可饶恕的恶，不自知其过的罪更是笼罩在中国社会的乌云，与当下时愈发强大的男权功守道不谋而合。精准的镜头，几乎没有废戏，视点交还予女孩的处理方法真心很棒。
        "
看过,2017-11-01 23:11:58,推荐,743," 男人搞出的事情，全部交给女人自己去处理：这就是我们的社会。
        "
看过,2017-11-03 20:45:03,推荐,680,"      补看平遥节“费穆奖”的最佳影片获得者，确实不虚其名，是本届我看到的最佳国产电影。女导演掌控剧情、人物准确，节奏恰当，手法简洁，内容丰富，扎实。缺点在于主角的精神、人性方面还欠更丰富、深层的开掘，使作品的格局没有得到可能的提升。
        "
看过,2017-11-24 13:09:36,力荐,533," 【B】最后电视里传来“和谐之声”，而我后排的一个女人泣不成声，她老公在一旁怎么安慰也不好，字幕放完，影院工作人员催促他们才慢慢站起。我才看到，她怀孕了。顿时脚下踩了空，我不知道可以说什么来安慰她，因为我全都不相信。 
        "
