是否看过,日期,评星,赞成数,评论内容
看过,2017-12-30 00:14:32,力荐,11377," 看完特别感动，直接跟对象分手了！爽！
        "
看过,2017-12-27 17:23:33,较差,4397," 女演员全体灾难！送女主一句话“敢作的人其实是需要相当的自信的。”最后选了个“恰当合适”的备胎还他妈要去玩过敏寻死的路数，女观众也想站起来骂脏话了。第三者那张岁月的容颜对着韩庚喊“大叔”的噩梦画面希望和2017年一样赶快再见。郑恺那对就是炮友吧。全篇判断关系的关键好像就是睡没睡。
        "
看过,2017-12-26 22:54:54,较差,2840," 40/100 “前任”这种电影适合打心眼里认同“女人黄金期只有几年”、“给女人花钱的男人不一定爱她，但不花钱的男人一定不爱她”这样观念的人欣赏。中间还能品出创一代对富二代和红二代的蔑视和羡慕，挺有意思。至于剧情，这部电影基本没有剧情。
        "
看过,2017-12-29 13:37:11,很差,2124," 又是平庸到不行的片子，戏剧手段单一。全篇都是吃饭，喝酒，聊天，拍得好像室内情景剧，毫无生活气。没事还用喜欢讲感情大道理，什么你们男人、你们女人之类的，又都是特别俗套的所谓感情真谛。表演也很成问题。女一最该走心的一场独白戏，感觉她自己都不太信，更别提感动别人了。
        "
看过,2017-12-26 21:41:05,很差,2209,
看过,2017-12-25 19:54:59,很差,2393," 如果说《解忧杂货店》是和屎一样的话，那这部就是不如屎。2017年了，为什么还会输出如此可怕的价值观？
        "
看过,2017-12-25 22:53:31,还行,1598," 真不是烂片啊，比彭浩翔强你信吗？并且是这个系列最佳吧，虽然没看过第2集。田羽生这次对剧本很用心了，性文化梗，以及情感认知，都不再混不吝了。当然你要是卡着三观说事我也没辙。整体还是亏在了演员上，尤其女主，真的太差了，而且最后韩庚又把至尊宝拿出来说事，有点为《大话西游3》洗白的意思。
        "
看过,2017-12-26 21:29:53,还行,1486," 女三和韩庚，一口一个“大叔”和“小朋友”，怎么演出口的？出场我还以为她大舅的二姨... 还有“我跟她像”，像的是大整容脸吧，这才是男人的一贯口味。
        "
看过,2017-12-26 23:14:02,还行,1396," 1.郑恺负责搞笑段落拼贴，纯属娱乐；2.韩庚负责深情款款，秀秀演技让人知道他在努力他在进步；3.影片对于男女在情感中的刻画虽然脸谱化，但也普遍现实；4.“你们都在等对方先放手”，有所触动；5.结尾至尊宝和吃芒果段落过度追求仪式感。但喜欢这样的结局，没有谁会空等着谁，伤口最终只会成为伤痕。
        "
看过,2017-12-26 21:50:58,很差,1102," 为什么不能评零分！这部刷新我看过的烂片底线。女主整容脸，从头丧到尾，主角团演技尬到炸，女三看着有四十了居然装萝莉。笑点生硬，剧情让人昏昏欲睡，居然还能扯到两个小时，观众如坐针毡，第一次看电影这么多人中途离场的。
        "
看过,2017-12-29 00:02:20,很差,932," 毫无新意和看点，整个系列都能感受到创作者们傲慢又愚蠢，他们以为观众会笑，他们以为直男能get，他们以为都市男女是这么谈恋爱……幸好终于完结了。
        "
看过,2017-12-29 14:26:09,还行,855," 讲分手后爱情的国产电影本来就比较少，各种欲言还休撕心裂肺之后居然没上演机场追爱或者婚礼夺妻之类的桥段，而是真的分手了就更难得了。这个系列的爱情线确实不动人，但是对于当代年轻人空洞无聊又不甘寂寞的生活一直描写得很细致：这个时代的爱情故事也就只能发生在微信里了
        "
看过,2017-12-27 03:09:56,很差,921," 郑凯的爆红就像跑男里那个屁一样，猝不及防、污染环境，最可气的是还有人能被一个屁逗乐，你说气不气
        "
看过,2017-12-29 10:30:05,很差,651," 想走欧美性喜剧的套路 可惜我国国情不让你太露 想走颜值风 然而真的get不到韩庚的帅点 那个什么”喝多了就美了”的表情特不好看 觉得在大屏幕上放大了脸就更加凸显他五官的粗糙。电影主旨明明心里有人还要开始新恋情的渣男行为更加不能忍 某些关于钱的鸡汤更是恶心 幸好这个系列终于还是要完结了。
        "
看过,2017-12-21 18:05:13,很差,622," 今年最侮辱观众智商的电影，系列最烂，没有底线的那种烂。剧情仿佛编剧喝高了胡乱瞎编出来的，一边前任之间爱的撕心裂肺，一边就又满世界约抛聊骚，导演还不忘用旁白撒狗血版鸡汤，另外韩庚居然还敢致敬自己出演过的《大话西游》，谁给你的自信？郑恺半路就掉线，演了一个半小时居然换个女主角，真做作
        "
看过,2017-12-27 00:05:58,很差,620," 被朋友強拉去看的試映，不到一半，他先繃不住要撤了。這麼歪的三觀、這麼惡心的劇情加表演，這部電影能上映，簡直是在作惡
        "
看过,2017-12-26 21:03:49,很差,501," 作了120分钟，总有一种这部电影永远不会结束的感觉，今年的爱情片有《原谅他77次》已经够了，真不需要这部。PS：相对本片所有主创说操你妈，想华谊兄弟这种无耻的电影公司赶紧倒闭，这种电影的大卖真是电影艺术的最大耻辱！
        "
看过,2017-12-29 20:11:11,较差,579," 韩庚和郑恺完成了从奶油小生到地沟油小生的完美蜕变 还有马狗那句 没用过 干净 真的是年度最佳脏句 直男癌本癌
        "
看过,2017-12-28 17:03:30,较差,548," 笑不出来。这种电影的坏，在于男性创作者自认为幽默自认为理解这个时代的三观崩坏的坏。
        "
看过,2017-12-26 22:08:52,很差,450," 你能想象到的最大尴尬程度，再乘以2。以及，俩男主，不搞基，可惜了。
        "
看过,2017-12-29 14:36:00,很差,498," 那个叫韩庚大叔的妹子？？？？exo me？？？？？真是太煎熬了看的。
        "
看过,2017-12-29 09:50:34,很差,428," 电视剧的视听水平，直男癌到爆的台词。。几个女演员都不知道从哪找的，演技极其浮夸。更别提最后结局，简直蠢到要死，误把智障当深情。
        "
看过,2018-01-01 23:35:15,较差,224," MV式的审美，意淫式的故事，作出来的分手，这种戏剧冲突的设定就是奔着最终的分手而去的，喜欢现在的结尾，可惜人物成长有点弱，不过回过头来从后往前推，即使价值观很土，至少和矫情犯蠢的第一部相比，它的故事已经算是那么回事了。
        "
看过,2017-12-26 22:40:00,较差,278," 被这片的直男癌气息恶心透了，尤其是前半段。男人怎么玩都行，女人就得伤心苦逼，去散心也是因为觉得自己作，回来了继续服务男人，女人生来就是为了奶男人的。可去tm的吧。那盗版陈意涵太可笑了。韩庚演技挺好，特别是耍贱的时候
        "
看过,2017-12-30 13:42:46,很差,271," 也许导演是想拍新时代的贱精先生，却把片中的男人都拍成了狗。
        "
看过,2017-12-29 11:07:12,很差,378," 一直没想明白这个系列怎么还能拍到第三部
        "
