是否看过,日期,评星,赞成数,评论内容
看过,2017-07-05 20:44:31,还行,961," 世事难料，作为世界巨星、万年主角的景甜小姐（以女主的戏份）竟给欧豪做了一次配角！#当然欧豪的后台推手是谁，就请走进金马影后马思纯的精彩人生#
        "
看过,2017-07-05 22:36:28,较差,671," 前所未见的意识形态分裂，骨子里是对日影的顶礼膜拜，可故事却又完全是拉民族仇恨，一会严肃的讨论历史，一会又为了娱乐性做架空、消解和扭曲，真的是恐怖的障眼法，有剧毒，请慢嗑。
        "
看过,2017-07-08 00:06:02,很差,134," 里外都坏透哒
        "
看过,2017-07-10 21:35:21,很差,597," 碍于日本电影《热血高校》所展现的校园暴力，这注定是一部无法被国产电影翻拍的作品，但这却并无法阻挡蒋卓原另辟蹊径的“智慧”，将它国的校园暴力与抗日背景两相融合，于是乎一部风格奇特，尴尬造作的《青禾男高》便就此诞生了。
        "
看过,2017-07-13 02:31:49,很差,500," 欧豪太他妈丑了………
        "
看过,2017-07-10 10:53:44,较差,390," 青少年会喜欢，说白了还是一句话，看得少。满屏的快慢镜，打打打，和质感low到爆炸的漫画风格，把青少年的反叛变成打小日本儿鼓吹爱国情绪，这种自以为聪明的偷梁换柱实在让人反感。
        "
看过,2017-07-05 22:47:16,较差,336," 是不是认为为古惑仔找到民族对立语境特别机智？
        "
看过,2017-07-06 20:50:59,None,397," 还男高呢，都打包送到青木病院吧
        "
看过,2017-07-13 12:06:20,很差,281," 别以为有大甜甜，你就不是网大了。拿的日本热血题材，却用来演手撕鬼子，读书＝性欲＝革命。还有，请把我发配到满洲国。
        "
看过,2017-07-12 19:32:50,很差,420," 1.0/10 可惜了我买票的7块9角钱，我检讨我自己，不应该贪小便宜，买了这票。我有错，我悔过。
        "
看过,2017-07-13 17:38:19,很差,106," 二次元爱国主义终于有了大银幕作品了。一方面它开了个好头，虽然神经错乱但是探到了个新底线，相信跟风作品起码还有一波；但另一方面它简直恶劣到无耻，最令人发指的地方并不在于打着抗日神剧的旗号拍日漫或者自以为反讽实际被高度询唤的说教和政治宣传，而在于对资本和对权力的双重卑躬屈膝。负分滚粗
        "
