是否看过,日期,评星,赞成数,评论内容
看过,2017-08-03 05:32:42,很差,21892," 刘亦菲这么多年演技一点都没有进步啊；杨洋完美的呈现了一个油腻又装逼的夜华，教主后继有人了。
        "
看过,2017-08-03 01:39:51,很差,20642,
看过,2017-08-03 19:21:41,很差,15782," 年度最烂，真的是年度最烂，前半部像杨洋和刘亦菲主持的少儿节目，后半部毁天灭地只为衬托他们狗屎一样的爱情。杨洋现在表演时的自恋感，已经到了他深情望着女演员的时候，你都会怀疑他是不是在看对方眼里映出的他自己帅气的倒影……
        "
看过,2017-08-03 07:53:41,很差,16399," 杨洋之后再无如此猥琐油腻之夜华。
        "
看过,2017-08-03 07:57:35,很差,15494," 没有对比就没有伤害，刘亦菲向观众们证明了杨幂还是有演技的
        "
看过,2017-08-02 18:27:00,很差,15067," 故事，凡是去看的，大概都是知道前前后后的。讲讲其他，表演很低廉，服装很粗糙，感觉都是化纤的，一摩擦就起静电。。美术很魔幻。。那些布景，总觉得像在看山寨版的霍比特人
        "
看过,2017-08-03 05:33:23,很差,14178," 老实说赵又廷的古装虽然不好看，但是他演的夜华还是可以的。杨洋的夜华真是毫无苏点，跟刘亦菲的感觉不是情人反而是姐弟的感觉，虽然是姐弟恋，但是并没有代入感。少年老成不是面瘫装逼啊
        "
看过,2017-08-03 00:47:16,很差,13415," 刘亦菲为啥乐此不彼的和这种没演技全程尬演的小鲜肉合作？4s整部片子一股子廉价的西方魔幻风，也就骗骗暑假学生党的钱了。。。
        "
看过,2017-08-03 00:56:58,很差,11814," 特效很差，演员演技差到让人尴尬，杨洋的存在就是为了衬托刘亦菲的演技。
        "
看过,2017-08-03 00:31:54,很差,11075," 两个演技为负的主角也就罢了，辣鸡剧情的古呕小言也就罢了，起码硬件做的良心点吧？结果也没有，服美是影楼化纤风的，美指是中不中西不西的山寨风的，特效是八流页游水平的，连海报都是网友ps入门水平的，钱大概都花去砸第一天的预售票房优惠了吧
        "
看过,2017-08-03 07:21:10,很差,8538," 杨洋和刘亦菲 毁容式演技。刘亦菲演了这么多年戏还停留在演啥都一个面瘫样的阶段 也是蛮厉害的
        "
看过,2017-07-29 18:17:16,很差,8238," 除了主角之外，配角的造型好雷啊！别说什么中国风，中国风不是雷好吗？
        "
看过,2017-08-05 06:25:09,很差,4220," 我愿：

一筐大枣，两箱山楂；
三鲜过海，加五得八；
夏天太热，多吃西瓜；
培育木耳，养殖林蛙；
勤劳肯干，指定能发；
天下百姓，都喊我妈。

正所谓：福瑞斯代尔，中国有嘻哈。
        "
看过,2017-08-03 09:56:30,很差,6770," 杨洋真的好尴尬啊，同床那段简直猥琐，我夜华大神去哪了，影版剧版都不满意。不得不承认神仙姐姐比大幂幂美好几个level
        "
看过,2017-08-03 15:57:11,很差,5731," 夜华拉面那段 我在想他在代言今麦郎呢还是汤达人
        "
看过,2017-08-03 09:47:49,很差,5807,
看过,2017-08-03 01:40:13,很差,5256," 1.1/10，看《XXX》之前本以为《三生三世十里桃花》是年度最烂，看完《XXX》发现《三生三世》可以排第二。广告摄影的通病，不会讲故事，一味追求视觉上的答卷，而忽略事件对人物和主题的重要性。所以不能算电影，且算是一堆广告大片的合集，洗发露广告、拉面广告、温泉广告、献血广告等等…
        "
看过,2017-08-03 14:22:07,很差,5147," 大家都在喷杨洋，都忘了刘亦菲也没演技吗
        "
看过,2017-08-02 11:43:26,很差,5498," 各个演员演技尴尬   看着脑仁都疼。。。
        "
看过,2017-08-03 09:08:24,很差,5178," 刘亦菲演了这么多年了 为啥一点进步都没有？？？？我们仙女不是妖怪好吗？一个妥妥的西方老妖精。辣眼睛  丑哭我。
        "
看过,2017-08-03 01:15:51,很差,3944," 看到最后一位编剧的名字非常反胃。这几年刘亦菲的电影资源太虐了，能不能有一部像样的电影能让我静静看看颜。
        "
看过,2017-08-03 08:40:36,很差,4511," 塑料质感的特效，颜色爆炸的美术，千人一面的两个主角，尤其猥琐的QJ犯男主，讲点道理，教主是躺枪。
        "
看过,2017-08-03 08:50:14,推荐,4245," 电影没上映就一直在宣传特效，不得不说这次的特效，布景真的很美很漂亮。刘亦菲杨洋颜值没的挑，个人感觉还不错啊，看到好多人打一星，好像不至于那么差吧。还是值得一看的
        "
看过,2017-08-03 14:29:28,很差,4383," 差就是差，不好就是不好。事实证明，曾经那个靠流量明星+大牌IP就能轻轻松松从观众口袋里骗钱的时代，已经开始越来越远了！
        "
看过,2017-08-03 19:04:05,很差,3835," 如果有人愿意陪你看这个电影，就和他结婚吧，因为他一定是真的爱你。
        "
看过,2017-08-03 08:37:51,还行,3930," 我觉得还好，没有网上说的那么差，就是情节有点乱看的有点懵，但是还好，完全不是一无是处的，特效很棒场景很美，但是大婚的时候刘亦菲造型有点雷，最后散场时好多人说这就没了啊，还有人说，怎么和电视剧还有小说不一样，然后感觉结局有些仓促，有点不懂，别的就没了，还是可以的
        "
