是否看过,日期,评星,赞成数,评论内容
看过,2017-10-11 20:21:18,力荐,9686," 青春不只是堕胎与恋爱，作弊才是学生时代的主题啊！

        "
看过,2017-10-14 03:06:02,推荐,8568," 女孩果然比同龄男孩成熟地早啊，女主发现有比成绩更重要的东西的时候男主还在打小报告，女主发现自己需要承担错误的时候男主正打算大干一票……总觉得男主的成长落后女主一步。
        "
看过,2017-08-20 22:57:10,还行,7362," bank桑真是无辜，被强扭成惯犯后无情抛弃
        "
看过,2017-06-25 12:46:33,推荐,7067,
看过,2017-08-03 11:39:52,推荐,4571," 作弊都能拍得这么燃，这么热血，真是激动到让人想鼓掌啊！剪辑很帅，节奏很好。虽然是青春片，整个的节奏更像间谍片或动作片，这就是侠盗的设定嘛。影片带出很多曾经的回忆，还借机探讨了泰国社会结构、教育制度等问题。几个小演员也不错。还有就是羡慕与嫉妒了，看人家青春片都拍到什么程度
        "
看过,2017-05-09 14:15:09,力荐,4610," 節奏快，運鏡狠，改變泰國電影溫吞的敘事風格。構思巧，細節妙，從作弊的角度給泰國教育體制狠狠一巴掌。以這些年泰國電影总体垃圾之品質來看，本片堪稱神作。可惜的是，結局妥協向善，還不如在女主握住門把時戛然而止做成開放結局。
        "
看过,2017-07-21 22:52:40,推荐,4496," 结尾过于政治正确，可惜了。
        "
看过,2017-10-13 16:31:16,推荐,4077," 男主二宫和也，女主杜鹃，男二彭于晏，女二新垣结衣。
        "
看过,2017-10-14 16:41:18,推荐,2785," 我们读大学的时候，接受了非常严格的“反作弊”教育，作弊被认为和偷窃性质一样严重，是人品的极大污点。我直到现在也不懂，很多人嘻嘻哈哈地说出“我们的青春就是抄答案”，“论文就是靠复制黏贴啊”，如何轻松又得意。你想过吗？很多人成年后的“坏”与“贼”，源头或许都是在学术态度崩塌的那一刻。
        "
看过,2017-07-22 16:47:37,推荐,2865,
看过,2017-10-09 22:14:06,力荐,2491," 壞學生失敗的代價多低，一點點小成就就能歡欣雀躍，即便那是別人的成果，長大了還能叫囂逃學作弊打架才叫青春。而好學生的呢，一步錯便有可能滿盤皆輸，代價甚至是價值觀、人生觀、世界觀的崩塌，而這正是最讓人難過的一點。
        "
看过,2017-10-13 20:31:32,力荐,2091," 看到澳洲只有一个中老年男人追出考场，就知道澳大利亚多地广人稀了。
        "
看过,2017-10-13 18:45:49,力荐,1497," 与宣传语正好相反：作弊改变的只是成绩，这世界——出身和地位说了算。
        "
看过,2017-06-26 00:39:47,推荐,1597," 日本小伙伴说全程精神紧绷，因为日本电影不太有这样的节奏，也不太触碰这样的话题。我说，其实泰国电影也不太有这样的节奏。泰国人今年值得为这一部难得的佳作而骄傲。导演很聪明用商业片的包装来批判教育体制，对比冷峻现实下迥异的个体命运。唯一不满是结局太正面，bank和lyn黑白分化过于刻意
        "
看过,2017-08-30 22:23:23,推荐,1704," 从小怕老师怕考试的我全程像在看恐怖片……
        "
看过,2017-08-27 19:44:54,推荐,1365," 类型电影里，炫技的剪切和压迫的镜头感，容易跟人物情感有剥离，但这部讲考试的“夺宝谍战”，却倒扣在了女学霸的少女心上。悉尼事件后删照片、拥抱父亲等几幕，用足了真情。千万金易买，有情郎难得。对人物黑化略意外但不无合理。相信考试的东方学子，亦难以选择相信阶层背后的一无所有。
        "
看过,2017-07-30 09:42:43,力荐,1420," 万万没想到高中生考试作弊竟能拍得如此高潮迭起精彩好看。最后还有跨国悬疑谍战大片范！既有对公义和利益的探讨，贫苦优秀生在金钱诱惑下的铤而走险。也有正义少年的堕落黑化，少女初恋情怀的崩塌。更有好笑的喜剧桥段，聪明机智的作弊手段，紧张万分的考试现场。男女主颜值演技俱佳。秒杀国内青春片！
        "
