是否看过,日期,评星,赞成数,评论内容
看过,2017-07-13 00:21:18,还行,7152," 从今往后一万年你们都会炒我的IP，拍我的电影，开发我的网游，搞我的电视剧，演我的京戏。我是齐天大圣孙悟空。
        "
看过,2017-07-12 22:15:35,较差,6023," 根本就没有故事。能看的只有特效。几条线索讲得乱七八糟。导演想要得很多，但根本没能力把握。一会讲讲爱情，幼稚得像初中生早恋；一会堆积点悲壮，又毫无代入感；时不时还隐藏一点有关反对者和权势者的隐喻，但导演自己都不想深究。孙悟空唯一的能力就是喊砸天砸地的口号。主旨靠口号传递，得多低级。
        "
看过,2017-07-09 14:48:09,很差,4847," 俞飞鸿出场的时候心猛一抖：“卧槽王菲？？？”至于电影，算了懒得说。
        "
看过,2017-07-09 22:47:36,很差,3599," 导演一定是做了很多功课绞尽了脑汁几个月夜不能寐才强行把这部电影拍到了一百二十分钟吧！确实幸苦了，把一部魔幻片拍成青春狗血爱情片这功力也是前无古人后无来者了，佩服。还有恶心到不能再恶心的配乐。片名应该叫《杨戬传》或者《天蓬元帅的爱情故事》才更好吧！孙悟空：“MMMP!”
        "
看过,2017-07-13 17:52:23,很差,2842," 如果要胡编乱造瞎鸡巴写，你就别叫悟空传好不好。我不知道是什么样的所谓资本逻辑，能把原著改得就剩一场戏，能把原著的戏眼台词删到只在片尾字幕出现，能把人物改得形神俱灭（删了金蝉子干脆别拍了好吗），能在这种自以为好笑的台词、自以为感人的情节和自以为牛逼的特效里面搞悲情营销。负分滚粗。
        "
看过,2017-07-09 22:59:35,较差,2286," 有史以来见过俞飞鸿最丑的样子，就在这部电影里。
        "
看过,2017-07-13 21:16:43,很差,1781," 出来时，听到一个小伙跟基友说：“国产片儿烂，这是天命。我们来看这片儿，就是违背天命，我们活该！”
        "
看过,2017-07-13 14:18:09,还行,1437," 三星半，三刷之后仍然有点燃。作为非书迷，我很享受其中很多细节。实际上，这已经脱离了原书，成为一个漫画式的视觉风格，中二与热血魂的少年电影。这也是我享受这部电影的原因。不服输与不认命在当下其实更有意义。金箍棒的造型也是近些年最帅的金箍棒。唯一的遗憾是感情戏略多，要再中二热血点就好了
        "
看过,2017-07-11 19:01:34,较差,1455," 又名《天机变之接班人培养计划》，大独裁者俞飞鸿，民主斗士彭于晏，背叛理想余文乐，只爱英雄大倪妮，为爱革命欧小豪，螳臂当车乔大杉……夹带私货郭子健。
        "
看过,2017-07-13 12:16:54,较差,1047," 故事跟悟空传西游记好像都没啥关系，倒像是古装奇幻版的香港黑帮义气片，神仙们在幻境里讲话时嘴里还哈着白气也蛮好笑的。孙悟空是历届猴子里智商最低的，金箍棒是历届棍子里长得最恶心的，倪妮那个角色适合一开始就绑上一万三千五百斤的定海神针沉入海底再也别出现
        "
看过,2017-07-11 18:46:27,较差,2822," 打到七彩，震到耳聋。除了视听部分可以拿得出手外，故事一塌糊涂，节奏乱七八糟，根本看不出这是【悟空传】，更像是看隔壁青少年在打了两个小时游戏机。十七年的原著粉看完后，感觉一段青春就这样结束了，呵。亿万大导演郭子健，你满意了！
        "
看过,2017-07-13 00:21:22,还行,2285," 这到底是《悟空传》，还是穿越版《匆匆那年》？
        "
看过,2017-07-13 12:03:47,很差,1820," 看了这个电影，我他妈才是真的开了天眼了
        "
看过,2017-07-21 02:01:55,力荐,452," 因为我参演了，付出了辛劳，所以无条件五星，望大家见谅。
        "
看过,2017-07-13 00:38:03,很差,665," 倪妮到底演的是谁，彭于晏演的是谁，都不是我印象中的人，唯一的心愿是这部片子能不能别叫悟空传。
        "
看过,2017-07-11 19:55:48,较差,1667," 了解过原著的肯定失望，没了精神内髓，化成一段感情和大量动作pk，敷衍了孙悟空的单线。抛弃了其他人物还是没颠覆一个人设，毕竟不能单看视效，能记住的大概就是结尾的字幕，不让世人遮了眼，不让尘世埋了心。好坏标签极度夸大，也总有一个顿悟的余文乐，应了那句鸿蒙初辟本无性，打破顽冥需悟空。
        "
看过,2017-07-09 14:56:44,还行,809," 看的时候在想，假如时光倒流二十年，这样的本子要是落在刘伟强、文隽他们手里，演员们就会是悟空、杨戬、天蓬（郑伊健+郭富城+古天乐）&阿紫、阿月（舒淇+杨恭如）那样的标配了。
        "
看过,2017-07-11 00:51:59,较差,977," 这好像完全是另一个故事吧。我能想到能拍《悟空传》的导演，大概只有王家卫。以及，天蓬还不错，如果不开口说台词的话。
        "
看过,2017-07-13 01:18:19,还行,257," 我高中大概是读了假的《悟空传》。说好的反天庭变成了反一个女人，编剧你在怕什么。这个女人最后还被官方定成妖魔，这让本来热血的口号滑稽至极。前3/4不知道在演什么，玛丽苏阿紫和她的爱慕者们过家家？最后悟空由着基友独战至死也要和阿紫腻着拖戏，我的内心毫无波澜甚至想笑。多加一星给天蓬线。
        "
