是否看过,日期,评星,赞成数,评论内容
看过,2017-03-27 20:46:22,力荐,2275," 我真的觉得你们这些在婚礼上吵闹喝酒、在便利店拿出手机来拍的人，没有办法理解躁郁症病人的痛苦。你们吃喝，拍照，上传到网络，被点赞转发，甚至没有耐心听完他的故事。
        "
看过,2017-04-08 23:09:35,还行,1772,"  “楼下一个男人病得要死，那间壁的一家唱着留声机；对面是弄孩子。楼上有两人狂笑；还有打牌声。河中的船上有女人哭着她死去的母亲。 人类的悲欢并不相通，我只觉得他们吵闹。” --这部片的短评鲁迅已经写了呀
        "
看过,2017-04-07 18:27:21,力荐,1073," 近期心情不好的人就不要看这个减压了，看完会想死。
        "
看过,2017-02-10 15:50:29,推荐,645," 患忧郁症的儿子与父亲的悲剧生活。新导演出手扎实，曾志伟、余文乐二位老演员倾力演出，值得一看。
        "
看过,2017-03-16 12:02:38,推荐,547," 港版Manchester by the sea，看着阿东的关系链一个个断裂…已经很棒了，教堂那场戏太狠了，然后下一场曾志伟小心翼翼地照顾他情绪，我就泪崩了。余文乐真棒啊！只是前半段有些台词显得多余，人物会松弛下来。有些片段会不会刻意科普？但普世价值挺大的，现代社会啊真的有病
        "
看过,2017-04-07 18:36:48,推荐,430," 我能理解他的每一次暴怒，每一次崩溃。
        "
看过,2016-10-13 22:06:47,较差,347," 大部分場次的安排都因果顛倒，為了讓某戲劇點發生而刻意安排某場戲。整個故事沒有任何具有推進作用的外在事件，人物總是突然醒悟。故事推進基本依賴對白，與事件無關。人物永遠在爆發情緒，但主角父子的情緒一直在重複，人物曲線沒有任何變化。對阿東本身的躁鬱症描繪粗淺，對病人本身沒有更深解讀。
        "
看过,2017-02-23 02:31:18,推荐,408," 近几年香港的商业电影似乎是不行了，老套，没钱，但当视角聚焦的冲突、矛盾、压抑的市井人物身上，我们发现，香港还是那个香港，我们也一样能感同身受《一念无明》的煎熬，《踏血寻梅》的绝望，以及《桃姐》带来的暖暖人情。
        "
看过,2017-04-08 22:22:06,推荐,378," 余文乐面部肌肉的抖动里都是戏，真好。不夸张，不做作。一座雄浑都市的底层生态当作背景点点铺陈。隔壁港陆夫妻的孩子念叨着“你要向上流动啊。”所有焦虑和绝望都被一句台词说尽。生活里的死胡同，一堵墙，无法迂回又无处突围的时候，大抵如此。
        "
看过,2017-04-08 00:37:16,还行,331," 很丧的电影，简直是《囚》的drama版——外面对我来说，只不过是一个更大的监狱。恶劣原生家庭对一个人的摧毁效应，简直是令鸡汤都可以冷冻固化的黑暗存在。糊涂人会觉得戏多，折堕其中的，肯定明白甘苦自知这个词汇的意思。一切尽在不言中啊。
        "
看过,2017-04-08 22:51:37,推荐,264," 阿乐在教堂哭的涕泗横流的女友就是你我身边可以持有各种身份的亲密恶人，上帝教我宽恕，我爱的不过是自己罢了，我最终爱的是那个宽恕你的我自己。
        "
看过,2017-03-27 21:57:45,推荐,214," 嗯，让念诗的新导演们狗带吧。
        "
看过,2016-10-14 10:25:33,较差,288," 我不仅要在电影院看演员们强行表演，还要在豆瓣上看我的同学们强行点评，SAD。
        "
看过,2017-04-07 12:16:39,推荐,190," 3.5；凡人之苦多在于粘稠羁绊的家庭关系，让人窒息，无法斩断，因为爱的名义，我们耗尽大半辈子却发现今生只学会了逃避，只学会以宽恕的姿态原谅自己的无能；逼仄空间的压抑，情绪饱和度太浓接近滥情，克制些更佳；“麻烦你了”哭得崩溃；全体演技在线，剧本扎实。
        "
看过,2017-04-07 13:19:14,推荐,166," 喜欢这个电影的平常心，不拔高，不过度批判，也不追求什么“终极真实”。用很让人舒服的镜头语言和表演关注市民生活和弱势群体，延续了老粤语电影的精髓。“不是什么都可以外判给别人来做的”，非要找深刻主题的话，这就是了。
        "
看过,2017-03-28 23:39:34,还行,244," 血缘，耶稣，士力架，哪个能拯救他？            父亲，母亲，亲弟弟，究竟谁更该死？                    余文乐都开始拼演技时（你不觉得他的奔跑好像《羞耻》里的法鲨吗？），他那一代的偶像们：霆锋上综艺，冠希玩摄影，彦祖半隐退，德伦欲当爹
        "
看过,2017-04-08 21:18:55,还行,106," 出發點是好的，但整部戲卻將所謂的社會冷漠誇張臉譜化，無論酒席的賓客、醫生、鄰里、教會，都是故意放大絕對化的處理，顯露出憤青式的控訴多過真正的關懷。如果以關懷躁狂症為名，卻將整個社會的其他人用偏見判刑，是我不認可的創作態度。而戲中只是借主角去評判社會，卻恰恰削弱了對主角本身的描繪
        "
看过,2017-04-11 16:12:04,推荐,117," 这种窒息性原生家庭，可能真的像二儿子一样直接远远抛开比较好吧。不要期待能从中翻出零星的爱了，没有的。
        "
看过,2016-11-21 15:24:55,推荐,209," ""無明""真的很貼切傳達出片子的內核：無明火起，燒盡功德林。因為家庭壓抑的累積而失手的弒母，成為主角日後一生的原罪。其實眾生皆罪，所謂正常，或許只是無明火起時的隱忍克制吧。一部略煽情但仍引思的片，值得一看。
        "
看过,2016-11-21 21:22:35,还行,130," 情緒太滿了。演員一直在互相爆發碰撞。反而難做出變化弧線。覺得剪輯也有不小的毛病。可以改善....余文樂轉型的努力可見，不過我印象最深刻的倒是演他未婚妻的方皓玟，在教會分享語稱寬恕，實則恨極鞭撻的場景。飾演父母的曾志偉金燕玲也有相當水準的演出
        "
