是否看过,日期,评星,赞成数,评论内容
看过,2017-11-08 17:33:44,推荐,2370," 也太可爱了吧这个丘吉尔。应该搞一个国王的演讲+至暗时刻+敦刻尔克连映套餐，简直太连贯了嘛！
        "
看过,2017-09-19 08:23:59,推荐,1486," 在习惯了那么多廉价奖项之后一巴掌告诉你什么才是影帝级的表演 拜托奥斯卡今年拎拎清
        "
看过,2017-09-12 22:18:30,力荐,1167," 我很喜欢结尾，结束在最高潮的一刻，至暗之后、破晓之前，不留多余的陈述总结。
        "
看过,2017-11-24 20:32:47,力荐,1152," 明年奥斯卡影帝不用提名了，直接颁给加里·奥德曼就好。
        "
看过,2017-10-15 02:11:30,力荐,1028," 四星半。从他出现第一个镜头开始，Garry Oldman消失了，Winston Churchill复活了。Joe Wright以极其古典而不花哨的方式，成功再现了那个不被建制派同僚所认同，但最终在平民中找到力量的伟大领袖。这片真的太适合与Dunkirk作双片连映了
        "
看过,2017-12-01 14:30:24,推荐,769," 7分，加里·奥尔曼的表演就是，我从头到尾，都没法把这个角色跟加里·奥德曼联系在一起，这不是奥德曼，这就是丘吉尔，太厉害。整体就是个正常发挥的奥斯卡式传记片，乔·赖特电影的摄影仍然很老道，摄影非常至暗时刻。该燃的时候也很燃，结尾有点热血感。
        "
看过,2017-12-01 18:32:46,推荐,618," 这样绝不和独裁者搞绥靖的西方政治家现在都去哪儿了？
        "
看过,2017-09-13 12:00:02,力荐,595," 丹尼尔戴刘易斯息影了，加里奥德曼的时代来临了。杰作。#TIFF2017
        "
看过,2017-11-17 17:27:21,推荐,456," 第90届奥斯卡最佳男主角：加里·奥德曼！
        "
看过,2017-11-29 17:35:17,推荐,403,
看过,2017-11-13 10:43:37,还行,317," 丘吉尔政治手腕教科书，演讲听力教材。人物性格设定简直像复制粘贴一样集各种英国人物传记冲奥片之大成，感觉现在的奥斯卡已经不太吃这套了。光这样也就算了，在关门政治一个半小时之后，需要一些人民的声音了，竟然来了一段首相坐地铁这种老掉牙的自我感动桥段。。乔莱特的视觉此时也显得空洞多余了
        "
看过,2017-11-29 01:02:49,推荐,257," 加里·奥德曼要拿奥斯卡影帝了，绝对是影帝级别的表演！这部电影就像是为他量身打造的奥斯卡命题作文，虽然这样的申奥片每年都有，见多了，但还是要承认它在各个方面的优秀。导演敢把整部电影放在室内，看一群英国人唇枪舌战，从头到尾叨逼叨，也是够任性的，也更加为片子增添了几分文艺气质。★★★☆
        "
